p cnf 155 659
-137 58 6 0
-58 77 -40 0
59 -106 36 0
59 -9 78 0
-59 38 88 0
59 -99 -67 0
-59 43 122 0
59 -11 -130 0
-59 76 -36 0
-59 -139 -122 0
-59 111 -2 0
59 -9 37 0
-59 -25 43 0
-106 -60 67 0
-41 61 66 0
127 61 -15 0
118 -61 112 0
32 -61 -97 0
-115 -61 -105 0
117 -62 20 0
131 -62 97 0
-58 62 90 0
62 14 -121 0
62 134 30 0
-116 -62 -61 0
144 -62 30 0
117 62 104 0
-63 96 -67 0
147 -63 -66 0
-57 -63 29 0
-70 63 20 0
-68 63 142 0
63 88 -135 0
-144 63 -67 0
-25 -63 -45 0
-154 -64 -37 0
-11 64 -143 0
-64 66 82 0
64 -20 -112 0
-51 -64 54 0
-34 64 -106 0
77 64 91 0
130 64 -107 0
89 -65 99 0
40 -65 -22 0
43 65 90 0
-65 54 80 0
84 65 -23 0
65 22 30 0
-54 65 -53 0
100 66 134 0
-64 66 82 0
-66 53 -151 0
-130 67 -75 0
-68 73 65 0
-68 -91 -112 0
-68 63 142 0
-68 -127 83 0
68 50 63 0
68 -104 7 0
-68 14 -90 0
68 -35 -49 0
68 152 43 0
-68 24 -11 0
-68 -127 72 0
-68 -152 27 0
-68 148 -112 0
-68 128 58 0
-136 69 112 0
-136 69 -108 0
-69 -80 151 0
-144 69 78 0
-118 -69 143 0
-69 150 -112 0
69 -79 74 0
-69 -115 -82 0
69 87 46 0
69 -155 -89 0
69 147 -149 0
-69 -11 20 0
-69 78 48 0
119 69 -114 0
25 70 -29 0
-70 63 20 0
110 70 -15 0
70 38 23 0
-70 56 62 0
-1 70 36 0
-70 -124 105 0
70 79 80 0
70 86 -107 0
32 70 -89 0
70 -125 97 0
70 143 -52 0
110 70 -135 0
50 70 -113 0
79 71 134 0
131 71 -65 0
-40 71 61 0
-103 -71 -148 0
-71 -123 121 0
-71 20 142 0
71 121 30 0
-71 -39 -54 0
57 71 151 0
-71 138 -96 0
71 148 74 0
-71 96 105 0
-71 -88 45 0
-71 -109 -135 0
-25 72 63 0
79 72 -22 0
129 -72 140 0
128 -72 -97 0
-129 72 148 0
-79 -72 -31 0
8 -72 82 0
72 -143 -97 0
-68 73 65 0
56 73 82 0
131 -73 -31 0
-3 73 104 0
58 73 -112 0
73 5 23 0
-80 -74 -15 0
54 -74 -142 0
140 -74 -112 0
-113 75 -22 0
76 -136 -16 0
-119 -76 113 0
76 145 -107 0
-8 76 117 0
-76 142 112 0
76 -55 115 0
-59 76 -36 0
-76 -124 -82 0
76 -102 59 0
76 125 -122 0
77 -125 63 0
77 -32 -82 0
-77 2 -29 0
77 -139 -123 0
-77 -16 108 0
50 77 130 0
77 -10 88 0
-58 -77 135 0
77 64 91 0
42 -77 109 0
-77 -31 67 0
-77 106 -104 0
137 77 -134 0
-58 77 -40 0
-78 -18 53 0
78 -140 67 0
-119 -78 -7 0
-8 78 15 0
153 -78 -4 0
8 -78 79 0
-69 78 48 0
-78 -133 45 0
137 79 138 0
-35 79 -33 0
79 71 134 0
79 26 83 0
79 72 -22 0
-79 138 53 0
110 79 105 0
131 79 36 0
69 -79 74 0
130 -79 151 0
79 -46 -90 0
-79 4 -123 0
70 79 80 0
-79 -72 -31 0
-155 -79 -99 0
94 -79 114 0
-79 54 143 0
-24 -79 -94 0
-129 79 -44 0
79 -115 -113 0
-27 -80 -96 0
-69 -80 151 0
-128 -80 -132 0
-80 -74 -15 0
-17 80 22 0
-80 135 -90 0
-145 80 -90 0
-80 82 15 0
-118 80 -150 0
-56 -80 107 0
56 80 134 0
81 -97 90 0
137 81 28 0
50 -81 -91 0
-49 81 73 0
81 -122 -61 0
35 82 67 0
-80 82 15 0
136 -82 -45 0
-85 83 -45 0
-92 83 -97 0
50 83 -112 0
84 130 -116 0
-85 84 -96 0
84 131 36 0
-8 -84 134 0
-84 15 -37 0
34 -84 37 0
102 84 23 0
-127 -84 -57 0
84 65 -23 0
84 28 -104 0
137 -84 153 0
84 -48 -140 0
-85 83 -45 0
-85 -15 -120 0
-85 84 -96 0
85 -143 -134 0
85 -103 -78 0
-85 9 -90 0
85 -4 -44 0
85 108 36 0
-85 9 112 0
85 -135 52 0
85 -99 5 0
-85 -130 71 0
-85 57 -23 0
-85 16 -154 0
-85 137 -63 0
48 86 82 0
127 -86 -112 0
70 86 -107 0
-86 143 -104 0
86 54 75 0
-87 -117 -49 0
16 87 -109 0
127 -87 -155 0
-87 13 -23 0
69 87 46 0
127 -87 -48 0
-87 100 -60 0
87 148 121 0
110 87 64 0
87 -116 60 0
-88 134 -45 0
98 -88 -121 0
63 88 -135 0
-34 -88 -121 0
-71 -88 45 0
154 88 -73 0
21 89 -45 0
89 -65 99 0
-144 -89 -104 0
89 99 28 0
-127 -89 73 0
-101 89 28 0
145 89 -134 0
-34 -89 37 0
89 47 13 0
144 91 113 0
-68 -91 -112 0
-91 -53 113 0
-137 -92 -80 0
92 -40 -155 0
111 -92 -116 0
-92 -149 31 0
92 140 -36 0
92 -109 -63 0
-92 83 -97 0
-92 3 -134 0
-110 -92 64 0
129 -92 11 0
93 -92 46 0
17 92 36 0
92 94 74 0
-93 38 66 0
93 -3 53 0
93 140 -104 0
-93 -50 153 0
93 -16 -86 0
-93 16 26 0
93 -92 46 0
93 122 134 0
93 146 30 0
-93 100 -88 0
93 -110 73 0
93 145 -30 0
-19 -94 45 0
-10 94 122 0
-125 -94 15 0
-94 54 62 0
111 94 72 0
-51 94 -99 0
-144 94 101 0
56 -94 6 0
94 -79 114 0
94 -138 21 0
92 94 74 0
-95 57 -106 0
110 -95 20 0
-137 -95 -65 0
95 39 151 0
-9 -95 47 0
-63 96 -67 0
114 96 -112 0
-71 96 105 0
149 -96 121 0
81 -97 90 0
-98 114 91 0
98 -88 -121 0
152 98 140 0
18 -98 -55 0
51 -98 -122 0
115 -99 15 0
11 99 -36 0
-99 28 -121 0
59 -99 -67 0
-146 -99 65 0
118 99 31 0
89 99 28 0
-147 -99 -22 0
116 -99 -61 0
26 99 60 0
85 -99 5 0
115 -99 143 0
-128 -99 -13 0
9 -100 6 0
-51 -100 -81 0
-17 100 41 0
17 100 -88 0
100 52 22 0
49 -100 -52 0
100 66 134 0
-117 100 -113 0
-17 -100 -15 0
-100 147 -15 0
-100 124 38 0
-87 100 -60 0
-93 100 -88 0
100 133 99 0
100 13 -66 0
101 -122 -82 0
101 -28 -122 0
-101 3 -112 0
-101 4 -61 0
-101 89 28 0
101 -18 114 0
34 -101 151 0
102 130 -29 0
-102 34 -121 0
102 -108 123 0
102 84 23 0
102 -116 -45 0
102 113 -142 0
102 56 -65 0
76 -102 59 0
-102 -140 135 0
103 -41 101 0
85 -103 -78 0
-103 -71 -148 0
-103 -126 140 0
103 154 37 0
35 103 139 0
103 -1 -7 0
18 104 -142 0
68 -104 7 0
23 -104 -142 0
-10 -104 -150 0
115 -104 -52 0
104 52 -67 0
-9 105 30 0
-12 -106 -148 0
59 -106 36 0
-117 -106 23 0
136 -106 -22 0
51 106 -38 0
125 106 112 0
-106 -135 -112 0
-19 -106 36 0
-155 -106 -90 0
-106 -60 67 0
144 106 -60 0
-137 -106 30 0
-77 106 -104 0
-49 107 -121 0
46 -107 66 0
-107 36 -14 0
43 107 -75 0
-107 44 37 0
128 -107 15 0
108 132 -67 0
102 -108 123 0
-126 -108 147 0
108 125 -20 0
-108 38 13 0
108 40 88 0
85 108 36 0
-9 -108 36 0
17 108 -121 0
108 27 -7 0
-108 -143 -96 0
108 109 143 0
-108 10 -13 0
-109 133 4 0
-111 109 115 0
92 -109 -63 0
-118 109 -72 0
130 109 -72 0
-109 -122 -31 0
108 109 143 0
-71 -109 -135 0
-136 -109 -46 0
136 109 -54 0
-17 -110 -134 0
110 154 -32 0
110 -54 -143 0
-110 133 -45 0
110 -95 20 0
110 79 105 0
110 70 -15 0
110 118 -147 0
110 145 18 0
110 132 -140 0
-110 -92 64 0
129 -110 30 0
110 -149 121 0
110 70 -135 0
-17 -110 63 0
110 119 -133 0
-110 -154 66 0
93 -110 73 0
110 87 64 0
111 -92 -116 0
111 -40 -23 0
-111 109 115 0
-111 136 70 0
-127 111 -116 0
137 111 -22 0
129 111 -95 0
111 94 72 0
111 -123 -54 0
-111 131 15 0
-111 56 -37 0
-59 111 -2 0
-113 75 -22 0
114 -113 96 0
47 113 -37 0
51 113 90 0
102 113 -142 0
3 113 -52 0
29 -113 6 0
40 -113 -45 0
148 -113 66 0
-98 114 91 0
128 -114 -7 0
114 96 -112 0
114 121 97 0
114 -113 96 0
-130 -114 -132 0
115 -99 15 0
-115 148 98 0
115 149 -112 0
115 -23 22 0
-69 -115 -82 0
115 -104 -52 0
-26 115 143 0
-115 -61 -105 0
79 -115 -113 0
115 -99 143 0
-118 116 -109 0
-116 124 -48 0
-116 38 -115 0
-117 116 83 0
-116 -62 -61 0
102 -116 -45 0
-25 -116 56 0
116 -99 -61 0
-19 116 29 0
87 -116 60 0
-34 -116 38 0
117 -62 20 0
-87 -117 -49 0
-117 -106 23 0
-117 54 -105 0
-50 -117 -39 0
-117 125 66 0
-117 116 83 0
-117 100 -113 0
117 130 71 0
117 62 104 0
-118 116 -109 0
-118 -121 120 0
119 -118 -143 0
-17 118 112 0
-118 -69 143 0
110 118 -147 0
-118 109 -72 0
-51 118 -112 0
118 -27 117 0
118 -61 112 0
118 99 31 0
-137 -118 44 0
-118 -139 36 0
-118 80 -150 0
119 58 88 0
-119 -76 113 0
119 -118 -143 0
-51 119 -10 0
-119 -78 -7 0
-119 34 -76 0
-119 123 -142 0
127 119 115 0
110 119 -133 0
119 69 -114 0
119 -145 24 0
-129 -120 82 0
-118 -121 120 0
-41 121 -52 0
121 37 82 0
114 121 97 0
136 121 -44 0
71 121 30 0
101 -122 -82 0
-109 -122 -31 0
93 122 134 0
81 -122 -61 0
-123 54 -62 0
-57 -123 149 0
129 123 -5 0
111 -123 -54 0
-71 -123 121 0
-50 -123 105 0
-119 123 -142 0
3 -123 -73 0
137 -124 155 0
-116 124 -48 0
-70 -124 105 0
-146 -124 149 0
-33 -124 46 0
-76 -124 -82 0
-100 124 38 0
77 -125 63 0
-125 -131 -67 0
-136 125 70 0
108 125 -20 0
43 -125 -123 0
-125 -94 15 0
-117 125 66 0
125 106 112 0
8 125 -33 0
70 -125 97 0
-125 -41 6 0
76 125 -122 0
-145 125 31 0
-125 10 -65 0
-125 -18 13 0
-126 -16 4 0
-43 126 -139 0
-9 126 47 0
-126 -108 147 0
126 -55 -6 0
-9 126 -15 0
126 49 64 0
-126 12 13 0
152 -126 90 0
-103 -126 140 0
126 -6 -37 0
-68 -127 83 0
-127 38 -140 0
127 -86 -112 0
127 -1 101 0
-127 154 5 0
127 -87 -155 0
127 61 -15 0
127 34 -148 0
-127 111 -116 0
-17 -127 -20 0
-127 -147 143 0
-127 -84 -57 0
-68 -127 72 0
-127 -89 73 0
127 -87 -48 0
127 119 115 0
128 -114 -7 0
-128 2 86 0
-128 -80 -132 0
128 -72 -97 0
-128 55 -15 0
128 57 89 0
128 -107 15 0
128 -147 12 0
-128 -99 -13 0
-68 128 58 0
-129 -120 82 0
129 123 -5 0
-129 -140 -61 0
129 -72 140 0
129 111 -95 0
129 -2 -150 0
-129 -26 148 0
129 -110 30 0
129 -92 11 0
129 -27 -108 0
-129 72 148 0
-129 -132 -30 0
-129 79 -44 0
129 -55 -20 0
129 8 44 0
129 -153 139 0
-129 -147 -3 0
102 130 -29 0
84 130 -116 0
130 -79 151 0
-17 -130 -120 0
-130 -140 47 0
-130 67 -75 0
117 130 71 0
130 109 -72 0
-130 4 -22 0
-9 -130 -134 0
130 6 61 0
130 64 -107 0
-85 -130 71 0
-130 -114 -132 0
32 130 -123 0
131 -62 97 0
-125 -131 -67 0
131 -73 -31 0
84 131 36 0
-131 54 151 0
131 79 36 0
131 -56 -105 0
131 71 -65 0
-131 40 -78 0
-111 131 15 0
51 131 12 0
-131 -4 39 0
108 132 -67 0
-56 -132 -113 0
145 132 -120 0
110 132 -140 0
-129 -132 -30 0
139 -132 44 0
-3 133 -36 0
-144 -133 23 0
35 133 14 0
-109 133 4 0
-110 133 -45 0
133 141 -61 0
144 133 150 0
100 133 99 0
-78 -133 45 0
-88 134 -45 0
62 134 30 0
17 134 -151 0
-18 -135 45 0
-80 135 -90 0
-106 -135 -112 0
85 -135 52 0
76 -136 -16 0
-136 69 112 0
-8 136 -86 0
-136 69 -108 0
136 49 143 0
-136 125 70 0
-111 136 70 0
136 -106 -22 0
136 121 -44 0
-136 46 36 0
43 136 -61 0
136 -82 -45 0
136 -48 -61 0
136 -11 149 0
136 -40 4 0
-136 -109 -46 0
136 109 -54 0
-137 -92 -80 0
137 79 138 0
137 -124 155 0
-137 3 -33 0
-137 -95 -65 0
-137 -34 -12 0
137 111 -22 0
-137 -58 -104 0
137 81 28 0
17 -137 80 0
-137 139 54 0
144 137 62 0
-137 -118 44 0
137 -12 -72 0
-137 -106 30 0
-137 153 104 0
137 49 -96 0
137 -84 153 0
137 77 -134 0
-137 58 6 0
-137 3 21 0
152 137 -31 0
-85 137 -63 0
-138 -147 15 0
-27 -138 116 0
-79 138 53 0
-26 -138 22 0
35 -138 -55 0
-41 138 39 0
-71 138 -96 0
94 -138 21 0
-138 150 120 0
77 -139 -123 0
-137 139 54 0
-118 -139 36 0
-59 -139 -122 0
-139 -155 23 0
139 -132 44 0
93 140 -104 0
92 140 -36 0
-129 -140 -61 0
78 -140 67 0
-130 -140 47 0
140 -74 -112 0
16 140 6 0
-102 -140 135 0
-1 -141 97 0
133 141 -61 0
51 -141 98 0
-141 47 67 0
-76 142 112 0
85 -143 -134 0
-86 143 -104 0
70 143 -52 0
72 -143 -97 0
-108 -143 -96 0
144 91 113 0
-144 -133 23 0
-144 69 78 0
144 -51 -87 0
-144 94 101 0
-144 -89 -104 0
144 137 62 0
144 -152 153 0
144 17 -154 0
-144 55 -53 0
144 106 -60 0
144 133 150 0
-144 9 66 0
144 -34 154 0
144 -62 30 0
-144 63 -67 0
-17 -145 23 0
76 145 -107 0
110 145 18 0
145 132 -120 0
-145 80 -90 0
-145 -48 -91 0
-145 -53 -112 0
145 147 -45 0
145 89 -134 0
-145 125 31 0
145 -30 -82 0
93 145 -30 0
119 -145 24 0
146 -48 114 0
-146 -99 65 0
146 4 141 0
-146 -124 149 0
93 146 30 0
-138 -147 15 0
-147 -54 74 0
147 -63 -66 0
-17 147 -121 0
147 -155 86 0
-32 147 -29 0
-43 -147 -115 0
-127 -147 143 0
3 -147 -15 0
-147 -99 -22 0
-26 -147 -123 0
145 147 -45 0
-100 147 -15 0
69 147 -149 0
128 -147 12 0
-129 -147 -3 0
-115 148 98 0
71 148 74 0
-42 148 -149 0
-148 14 -7 0
87 148 121 0
148 -113 66 0
-68 148 -112 0
-42 -149 -23 0
-92 -149 31 0
-56 -149 53 0
115 149 -112 0
110 -149 121 0
-8 149 -37 0
149 -96 121 0
-69 150 -112 0
21 150 -105 0
-138 150 120 0
31 151 30 0
152 19 57 0
-152 -40 -52 0
-152 -154 7 0
152 98 140 0
152 -9 -15 0
68 152 43 0
-152 -11 -132 0
152 58 131 0
144 -152 153 0
152 -126 90 0
-68 -152 27 0
152 137 -31 0
-153 -10 -141 0
-153 154 -30 0
-153 -21 44 0
-153 16 -58 0
-58 153 -48 0
153 4 -61 0
153 -78 -4 0
-137 153 104 0
-153 24 11 0
129 -153 139 0
154 -29 -22 0
-154 29 30 0
110 154 -32 0
-154 -64 -37 0
154 3 31 0
-152 -154 7 0
-127 154 5 0
-153 154 -30 0
-16 154 12 0
103 154 37 0
-110 -154 66 0
-154 -23 67 0
154 88 -73 0
147 -155 86 0
-155 3 80 0
-155 -106 -90 0
-155 -79 -99 0
69 -155 -89 0
-139 -155 23 0
24 -155 96 0
